prompt,context,output
"Extract the target person's education history as JSON.
Target person: Alvitta Ottley
Return a JSON array of degrees with fields: level, field, university, year, country. Only include information about the target person.",IISP,"{""level"": ""B.S."", ""field"": ""Computer Science"", ""university"": ""SUNY Plattsburgh"", ""year"": ""2010"", ""country"": ""USA""}"
"Extract the target person's education history as JSON.
Target person: Alvitta Ottley
Return a JSON array of degrees with fields: level, field, university, year, country. Only include information about the target person.",IISP,"{""level"": ""M.S."", ""field"": ""Computer Science"", ""university"": ""Tufts University"", ""year"": ""2013"", ""country"": ""USA""}"
"Extract the target person's education history as JSON.
Target person: Alvitta Ottley
Return a JSON array of degrees with fields: level, field, university, year, country. Only include information about the target person.",IISP,"{""level"": ""Ph.D."", ""field"": ""Computer Science"", ""university"": ""Tufts University"", ""year"": ""2016"", ""country"": ""USA""}"
"Extract the target person's education history as JSON.
Target person: Amandeep Singh Gill
Return a JSON array of degrees with fields: level, field, university, year, country. Only include information about the target person.",High-level Advisory Body on Artificial Intelligence,"{""level"": ""B.Tech"", ""field"": ""Electronics and Electrical Communications"", ""university"": ""Punjab Engineering College, Chandigarh"", ""year"": ""—"", ""country"": ""India""}"
"Extract the target person's education history as JSON.
Target person: Amandeep Singh Gill
Return a JSON array of degrees with fields: level, field, university, year, country. Only include information about the target person.",High-level Advisory Body on Artificial Intelligence,"{""level"": ""PhD"", ""field"": ""Nuclear Learning in Multilateral Forums"", ""university"": ""King's College London"", ""year"": ""—"", ""country"": ""United Kingdom""}"
"Extract the target person's education history as JSON.
Target person: Andreas Krause
Return a JSON array of degrees with fields: level, field, university, year, country. Only include information about the target person.",High-level Advisory Body on Artificial Intelligence,"{""level"": ""Diplom (M.Sc. equiv.)"", ""field"": ""Mathematics and Computer Science"", ""university"": ""Technical University of Munich"", ""year"": ""2004"", ""country"": ""Germany""}"
"Extract the target person's education history as JSON.
Target person: Andreas Krause
Return a JSON array of degrees with fields: level, field, university, year, country. Only include information about the target person.",High-level Advisory Body on Artificial Intelligence,"{""level"": ""Ph.D."", ""field"": ""Computer Science"", ""university"": ""Carnegie Mellon University"", ""year"": ""2008"", ""country"": ""USA""}"
"Extract the target person's education history as JSON.
Target person: Andrei Neznamov
Return a JSON array of degrees with fields: level, field, university, year, country. Only include information about the target person.",IISP,"{""level"": ""Specialist degree (\""Юрист\""/Lawyer), with honors"", ""field"": ""Law"", ""university"": ""Ural State Law Academy"", ""year"": ""2007"", ""country"": ""Russia""}"
"Extract the target person's education history as JSON.
Target person: Andrei Neznamov
Return a JSON array of degrees with fields: level, field, university, year, country. Only include information about the target person.",IISP,"{""level"": ""Kandidat Nauk (Candidate of Legal Sciences, ≈PhD)"", ""field"": ""Law — Civil Procedure/Arbitration Procedure (12.00.15)"", ""university"": ""Defended in Yekaterinburg, Russia"", ""year"": ""2010"", ""country"": ""Russia""}"
"Extract the target person's education history as JSON.
Target person: Anna Abramova
Return a JSON array of degrees with fields: level, field, university, year, country. Only include information about the target person.",IISP,"{""level"": ""Ph.D. (credential only — no institution, field, or year specified for the degree itself)"", ""field"": ""Unknown — \""Department of Economics\"" is listed as her *current* department, not confirmed as her degree field"", ""university"": ""Unknown — MGIMO is her employer; not confirmed as PhD-granting institution"", ""year"": ""Not stated"", ""country"": ""Russia (if MGIMO)""}"
"Extract the target person's education history as JSON.
Target person: Anna Christmann
Return a JSON array of degrees with fields: level, field, university, year, country. Only include information about the target person.",High-level Advisory Body on Artificial Intelligence,"{""level"": ""Magister"", ""field"": ""Political Science, Economics and Mathematics"", ""university"": ""University of Heidelberg"", ""year"": ""2008"", ""country"": ""Germany""}"
"Extract the target person's education history as JSON.
Target person: Anna Christmann
Return a JSON array of degrees with fields: level, field, university, year, country. Only include information about the target person.",High-level Advisory Body on Artificial Intelligence,"{""level"": ""PhD (Dr.)"", ""field"": ""Political Science (dissertation \""Die Grenzen direkter Demokratie\"")"", ""university"": ""University of Bern"", ""year"": ""2011"", ""country"": ""Switzerland""}"
"Extract the target person's education history as JSON.
Target person: Anna Korhonen
Return a JSON array of degrees with fields: level, field, university, year, country. Only include information about the target person.",IISP,"{""level"": ""Undergraduate"", ""field"": ""Linguistics"", ""university"": ""University of Helsinki"", ""year"": ""Not stated (gap)"", ""country"": ""Finland""}"
"Extract the target person's education history as JSON.
Target person: Anna Korhonen
Return a JSON array of degrees with fields: level, field, university, year, country. Only include information about the target person.",IISP,"{""level"": ""Master's"", ""field"": ""Linguistics"", ""university"": ""University of Reading"", ""year"": ""Not stated (gap)"", ""country"": ""UK""}"
"Extract the target person's education history as JSON.
Target person: Anna Korhonen
Return a JSON array of degrees with fields: level, field, university, year, country. Only include information about the target person.",IISP,"{""level"": ""Ph.D."", ""field"": ""Computer Science"", ""university"": ""University of Cambridge"", ""year"": ""2002"", ""country"": ""UK""}"
"Extract the target person's education history as JSON.
Target person: Anna Korhonen
Return a JSON array of degrees with fields: level, field, university, year, country. Only include information about the target person.",IISP,"{""level"": ""Master's"", ""field"": ""Computer Science and/or Linguistics — institution not clearly stated for this specific degree"", ""university"": ""Ambiguous (possibly Cambridge; not stated explicitly)"", ""year"": ""Not stated (gap)"", ""country"": ""Ambiguous""}"
"Extract the target person's education history as JSON.
Target person: Arisa Ema
Return a JSON array of degrees with fields: level, field, university, year, country. Only include information about the target person.",High-level Advisory Body on Artificial Intelligence,"{""level"": ""B.A."", ""field"": ""Science and Technology Studies"", ""university"": ""University of Tokyo"", ""year"": ""2007"", ""country"": ""Japan""}"
"Extract the target person's education history as JSON.
Target person: Arisa Ema
Return a JSON array of degrees with fields: level, field, university, year, country. Only include information about the target person.",High-level Advisory Body on Artificial Intelligence,"{""level"": ""M.A."", ""field"": ""Science and Technology Studies"", ""university"": ""University of Tokyo"", ""year"": ""2009"", ""country"": ""Japan""}"
"Extract the target person's education history as JSON.
Target person: Arisa Ema
Return a JSON array of degrees with fields: level, field, university, year, country. Only include information about the target person.",High-level Advisory Body on Artificial Intelligence,"{""level"": ""Ph.D."", ""field"": ""Science and Technology Studies"", ""university"": ""University of Tokyo"", ""year"": ""2012"", ""country"": ""Japan""}"
"Extract the target person's education history as JSON.
Target person: Awa Bousso Dramé
Return a JSON array of degrees with fields: level, field, university, year, country. Only include information about the target person.",IISP,"{""level"": ""Bachelor's (undergraduate)"", ""field"": ""Geography and GIS"", ""university"": ""Sorbonne Université, Paris"", ""year"": ""Not stated (started c. 2014, after baccalaureate)"", ""country"": ""France""}"
"Extract the target person's education history as JSON.
Target person: Awa Bousso Dramé
Return a JSON array of degrees with fields: level, field, university, year, country. Only include information about the target person.",IISP,"{""level"": ""Master's"", ""field"": ""Earth & Environmental Sciences (with a geospatial/AI focus)"", ""university"": ""Columbia University, New York"", ""year"": ""Not stated (gap)"", ""country"": ""USA""}"
"Extract the target person's education history as JSON.
Target person: Awa Bousso Dramé
Return a JSON array of degrees with fields: level, field, university, year, country. Only include information about the target person.",IISP,"{""level"": ""Ph.D."", ""field"": ""Environmental/Ocean Sciences and GeoAI (dissertation: \""Coastal response to human interventions and climate variability: the Senegal estuary shoreline\"")"", ""university"": ""University College London"", ""year"": ""2025"", ""country"": ""United Kingdom""}"
"Extract the target person's education history as JSON.
Target person: Balaraman Ravindran
Return a JSON array of degrees with fields: level, field, university, year, country. Only include information about the target person.",IISP,"{""level"": ""Undergraduate"", ""field"": ""Electronics and Communications Engineering"", ""university"": ""Thiyagarajar College of Engineering, Madurai"", ""year"": ""Not stated (approx. late 1980s per article context)"", ""country"": ""India""}"
"Extract the target person's education history as JSON.
Target person: Balaraman Ravindran
Return a JSON array of degrees with fields: level, field, university, year, country. Only include information about the target person.",IISP,"{""level"": ""Ph.D."", ""field"": ""Computer Science"", ""university"": ""University of Massachusetts, Amherst"", ""year"": ""2004"", ""country"": ""USA""}"
"Extract the target person's education history as JSON.
Target person: Bernhard Schölkopf
Return a JSON array of degrees with fields: level, field, university, year, country. Only include information about the target person.",IISP,"{""level"": ""M.Sc."", ""field"": ""Mathematics"", ""university"": ""University of London"", ""year"": ""Not stated (gap)"", ""country"": ""UK""}"
"Extract the target person's education history as JSON.
Target person: Bernhard Schölkopf
Return a JSON array of degrees with fields: level, field, university, year, country. Only include information about the target person.",IISP,"{""level"": ""Diplom"", ""field"": ""Physics"", ""university"": ""University of Tübingen"", ""year"": ""Not stated (gap)"", ""country"": ""Germany""}"
"Extract the target person's education history as JSON.
Target person: Bernhard Schölkopf
Return a JSON array of degrees with fields: level, field, university, year, country. Only include information about the target person.",IISP,"{""level"": ""Ph.D."", ""field"": ""Computer Science"", ""university"": ""TU Berlin"", ""year"": ""1997"", ""country"": ""Germany""}"
"Extract the target person's education history as JSON.
Target person: Bilal Mateen
Return a JSON array of degrees with fields: level, field, university, year, country. Only include information about the target person.",IISP,"{""level"": ""B.Sc."", ""field"": ""Neuroscience and Medical Sciences"", ""university"": ""University College London"", ""year"": ""Not stated (gap)"", ""country"": ""UK""}"
"Extract the target person's education history as JSON.
Target person: Bilal Mateen
Return a JSON array of degrees with fields: level, field, university, year, country. Only include information about the target person.",IISP,"{""level"": ""MBBS"", ""field"": ""Medicine"", ""university"": ""University College London"", ""year"": ""Not stated (gap)"", ""country"": ""UK""}"
"Extract the target person's education history as JSON.
Target person: Bilal Mateen
Return a JSON array of degrees with fields: level, field, university, year, country. Only include information about the target person.",IISP,"{""level"": ""MPH"", ""field"": ""Public Health"", ""university"": ""University of Edinburgh"", ""year"": ""Not stated (gap)"", ""country"": ""UK""}"
"Extract the target person's education history as JSON.
Target person: Bilal Mateen
Return a JSON array of degrees with fields: level, field, university, year, country. Only include information about the target person.",IISP,"{""level"": ""Ph.D."", ""field"": ""Mucosal Biology and Inflammation"", ""university"": ""King's College London"", ""year"": ""Not stated (gap)"", ""country"": ""UK""}"
"Extract the target person's education history as JSON.
Target person: Carlos Coello Coello
Return a JSON array of degrees with fields: level, field, university, year, country. Only include information about the target person.",IISP,"{""level"": ""BSc"", ""field"": ""Civil Engineering"", ""university"": ""Universidad Autónoma de Chiapas (UNACH)"", ""year"": ""1991 (studied 1985–1990)"", ""country"": ""Mexico""}"
"Extract the target person's education history as JSON.
Target person: Carlos Coello Coello
Return a JSON array of degrees with fields: level, field, university, year, country. Only include information about the target person.",IISP,"{""level"": ""M.Sc."", ""field"": ""Computer Science"", ""university"": ""Tulane University, New Orleans"", ""year"": ""1993"", ""country"": ""USA""}"
"Extract the target person's education history as JSON.
Target person: Carlos Coello Coello
Return a JSON array of degrees with fields: level, field, university, year, country. Only include information about the target person.",IISP,"{""level"": ""Ph.D."", ""field"": ""Computer Science"", ""university"": ""Tulane University, New Orleans"", ""year"": ""1996 (awarded May 1996)"", ""country"": ""USA""}"
"Extract the target person's education history as JSON.
Target person: Carme Artigas
Return a JSON array of degrees with fields: level, field, university, year, country. Only include information about the target person.",High-level Advisory Body on Artificial Intelligence,"{""level"": ""MSc"", ""field"": ""Chemical Engineering"", ""university"": ""Instituto Químico de Sarriá (IQS), Barcelona"", ""year"": ""—"", ""country"": ""Spain""}"
"Extract the target person's education history as JSON.
Target person: Carme Artigas
Return a JSON array of degrees with fields: level, field, university, year, country. Only include information about the target person.",High-level Advisory Body on Artificial Intelligence,"{""level"": ""Postgraduate"", ""field"": ""Industrial Management"", ""university"": ""Instituto Químico de Sarriá (IQS)"", ""year"": ""—"", ""country"": ""Spain""}"
"Extract the target person's education history as JSON.
Target person: Carme Artigas
Return a JSON array of degrees with fields: level, field, university, year, country. Only include information about the target person.",High-level Advisory Body on Artificial Intelligence,"{""level"": ""Executive Program"", ""field"": ""Venture Capital"", ""university"": ""Haas School, University of California, Berkeley"", ""year"": ""—"", ""country"": ""USA""}"
"Extract the target person's education history as JSON.
Target person: Craig Ramlal
Return a JSON array of degrees with fields: level, field, university, year, country. Only include information about the target person.",High-level Advisory Body on Artificial Intelligence,"{""level"": ""BSc"", ""field"": ""Electrical and Computer Engineering"", ""university"": ""University of the West Indies (with King Fahd University of Petroleum and Minerals)"", ""year"": ""—"", ""country"": ""Trinidad and Tobago / Saudi Arabia""}"
"Extract the target person's education history as JSON.
Target person: Craig Ramlal
Return a JSON array of degrees with fields: level, field, university, year, country. Only include information about the target person.",High-level Advisory Body on Artificial Intelligence,"{""level"": ""MASc"", ""field"": ""Electrical and Computer Engineering (Control Systems)"", ""university"": ""University of the West Indies (with King Fahd University)"", ""year"": ""—"", ""country"": ""Trinidad and Tobago / Saudi Arabia""}"
"Extract the target person's education history as JSON.
Target person: Craig Ramlal
Return a JSON array of degrees with fields: level, field, university, year, country. Only include information about the target person.",High-level Advisory Body on Artificial Intelligence,"{""level"": ""PhD"", ""field"": ""Electrical and Computer Engineering"", ""university"": ""University of the West Indies (with King Fahd University)"", ""year"": ""—"", ""country"": ""Trinidad and Tobago / Saudi Arabia""}"
"Extract the target person's education history as JSON.
Target person: Emma Ruttkamp-Bloem
Return a JSON array of degrees with fields: level, field, university, year, country. Only include information about the target person.",High-level Advisory Body on Artificial Intelligence,"{""level"": ""BA"", ""field"": ""Philosophy"", ""university"": ""University of Pretoria"", ""year"": ""—"", ""country"": ""South Africa""}"
"Extract the target person's education history as JSON.
Target person: Emma Ruttkamp-Bloem
Return a JSON array of degrees with fields: level, field, university, year, country. Only include information about the target person.",High-level Advisory Body on Artificial Intelligence,"{""level"": ""BA (Honours)"", ""field"": ""Philosophy"", ""university"": ""University of Pretoria"", ""year"": ""—"", ""country"": ""South Africa""}"
"Extract the target person's education history as JSON.
Target person: Emma Ruttkamp-Bloem
Return a JSON array of degrees with fields: level, field, university, year, country. Only include information about the target person.",High-level Advisory Body on Artificial Intelligence,"{""level"": ""MA"", ""field"": ""Philosophy"", ""university"": ""University of Pretoria"", ""year"": ""—"", ""country"": ""South Africa""}"
"Extract the target person's education history as JSON.
Target person: Emma Ruttkamp-Bloem
Return a JSON array of degrees with fields: level, field, university, year, country. Only include information about the target person.",High-level Advisory Body on Artificial Intelligence,"{""level"": ""PhD"", ""field"": ""Philosophy (Mathematical Logic and Philosophy of Science)"", ""university"": ""University of Pretoria"", ""year"": ""—"", ""country"": ""South Africa""}"
"Extract the target person's education history as JSON.
Target person: Estela Aranha
Return a JSON array of degrees with fields: level, field, university, year, country. Only include information about the target person.",High-level Advisory Body on Artificial Intelligence,"{""level"": ""Professional qualification: Lawyer (law degree implied; institution/year not stated)"", ""field"": ""Law"", ""university"": ""—"", ""year"": ""—"", ""country"": ""Brazil""}"
"Extract the target person's education history as JSON.
Target person: Girmaw Abebe Tadesse
Return a JSON array of degrees with fields: level, field, university, year, country. Only include information about the target person.",IISP,"{""level"": ""Ph.D. (Erasmus Mundus Joint/Double Doctorate)"", ""field"": ""Interactive and Cognitive Environments"", ""university"": ""Queen Mary University of London (lead), jointly with Universitat Politècnica de Catalunya (Spain), INESC-ID (Portugal), KU Leuven (Belgium), Università di Trento (Italy)"", ""year"": ""2018 (issue date 2018-05-14 per thesis record)"", ""country"": ""UK (lead institution); joint EU consortium""}"
"Extract the target person's education history as JSON.
Target person: Haitao Song
Return a JSON array of degrees with fields: level, field, university, year, country. Only include information about the target person.",IISP,"{""level"": ""PhD"", ""field"": ""Electrical Engineering and Automation"", ""university"": ""Shanghai Jiao Tong University"", ""year"": ""—"", ""country"": ""China""}"
"Extract the target person's education history as JSON.
Target person: Haksoo Ko
Return a JSON array of degrees with fields: level, field, university, year, country. Only include information about the target person.",High-level Advisory Body on Artificial Intelligence,"{""level"": ""B.A."", ""field"": ""Economics"", ""university"": ""Seoul National University"", ""year"": ""1989"", ""country"": ""South Korea""}"
"Extract the target person's education history as JSON.
Target person: Haksoo Ko
Return a JSON array of degrees with fields: level, field, university, year, country. Only include information about the target person.",High-level Advisory Body on Artificial Intelligence,"{""level"": ""M.A."", ""field"": ""Economics"", ""university"": ""Seoul National University"", ""year"": ""1991"", ""country"": ""South Korea""}"
"Extract the target person's education history as JSON.
Target person: Haksoo Ko
Return a JSON array of degrees with fields: level, field, university, year, country. Only include information about the target person.",High-level Advisory Body on Artificial Intelligence,"{""level"": ""J.D."", ""field"": ""Law"", ""university"": ""Columbia University School of Law"", ""year"": ""1998"", ""country"": ""USA""}"
"Extract the target person's education history as JSON.
Target person: Haksoo Ko
Return a JSON array of degrees with fields: level, field, university, year, country. Only include information about the target person.",High-level Advisory Body on Artificial Intelligence,"{""level"": ""Ph.D."", ""field"": ""Economics"", ""university"": ""Columbia University"", ""year"": ""2001"", ""country"": ""USA""}"
"Extract the target person's education history as JSON.
Target person: He Ruimin
Return a JSON array of degrees with fields: level, field, university, year, country. Only include information about the target person.",High-level Advisory Body on Artificial Intelligence,"{""level"": ""B.S."", ""field"": ""Electrical Science and Engineering"", ""university"": ""Massachusetts Institute of Technology"", ""year"": ""—"", ""country"": ""USA""}"
"Extract the target person's education history as JSON.
Target person: He Ruimin
Return a JSON array of degrees with fields: level, field, university, year, country. Only include information about the target person.",High-level Advisory Body on Artificial Intelligence,"{""level"": ""Ph.D."", ""field"": ""Economics"", ""university"": ""Massachusetts Institute of Technology"", ""year"": ""—"", ""country"": ""USA""}"
"Extract the target person's education history as JSON.
Target person: Hiroaki Kitano
Return a JSON array of degrees with fields: level, field, university, year, country. Only include information about the target person.",High-level Advisory Body on Artificial Intelligence,"{""level"": ""B.A."", ""field"": ""Physics"", ""university"": ""International Christian University"", ""year"": ""—"", ""country"": ""Japan""}"
"Extract the target person's education history as JSON.
Target person: Hiroaki Kitano
Return a JSON array of degrees with fields: level, field, university, year, country. Only include information about the target person.",High-level Advisory Body on Artificial Intelligence,"{""level"": ""Ph.D."", ""field"": ""Computer Science"", ""university"": ""Kyoto University"", ""year"": ""—"", ""country"": ""Japan""}"
"Extract the target person's education history as JSON.
Target person: Hoda Heidari
Return a JSON array of degrees with fields: level, field, university, year, country. Only include information about the target person.",IISP,"{""level"": ""B.Sc."", ""field"": ""Software Engineering"", ""university"": ""Sharif University of Technology, Tehran"", ""year"": ""2011"", ""country"": ""Iran""}"
"Extract the target person's education history as JSON.
Target person: Hoda Heidari
Return a JSON array of degrees with fields: level, field, university, year, country. Only include information about the target person.",IISP,"{""level"": ""M.Sc."", ""field"": ""Statistics"", ""university"": ""Wharton School, University of Pennsylvania"", ""year"": ""2017"", ""country"": ""USA""}"
"Extract the target person's education history as JSON.
Target person: Hoda Heidari
Return a JSON array of degrees with fields: level, field, university, year, country. Only include information about the target person.",IISP,"{""level"": ""Ph.D."", ""field"": ""Computer and Information Science"", ""university"": ""University of Pennsylvania"", ""year"": ""2017"", ""country"": ""USA""}"
"Extract the target person's education history as JSON.
Target person: Ian Bremmer
Return a JSON array of degrees with fields: level, field, university, year, country. Only include information about the target person.",High-level Advisory Body on Artificial Intelligence,"{""level"": ""BA"", ""field"": ""International Relations"", ""university"": ""Tulane University"", ""year"": ""1989"", ""country"": ""USA""}"
"Extract the target person's education history as JSON.
Target person: Ian Bremmer
Return a JSON array of degrees with fields: level, field, university, year, country. Only include information about the target person.",High-level Advisory Body on Artificial Intelligence,"{""level"": ""MA"", ""field"": ""Political Science"", ""university"": ""Stanford University"", ""year"": ""1991"", ""country"": ""USA""}"
"Extract the target person's education history as JSON.
Target person: Ian Bremmer
Return a JSON array of degrees with fields: level, field, university, year, country. Only include information about the target person.",High-level Advisory Body on Artificial Intelligence,"{""level"": ""PhD"", ""field"": ""Political Science"", ""university"": ""Stanford University"", ""year"": ""1994"", ""country"": ""USA""}"
"Extract the target person's education history as JSON.
Target person: Jaan Tallinn
Return a JSON array of degrees with fields: level, field, university, year, country. Only include information about the target person.",High-level Advisory Body on Artificial Intelligence,"{""level"": ""BSc"", ""field"": ""Theoretical Physics"", ""university"": ""University of Tartu"", ""year"": ""1996"", ""country"": ""Estonia""}"
"Extract the target person's education history as JSON.
Target person: James Manyika
Return a JSON array of degrees with fields: level, field, university, year, country. Only include information about the target person.",High-level Advisory Body on Artificial Intelligence,"{""level"": ""BSc"", ""field"": ""Electrical Engineering"", ""university"": ""University of Zimbabwe"", ""year"": ""—"", ""country"": ""Zimbabwe""}"
"Extract the target person's education history as JSON.
Target person: James Manyika
Return a JSON array of degrees with fields: level, field, university, year, country. Only include information about the target person.",High-level Advisory Body on Artificial Intelligence,"{""level"": ""MSc"", ""field"": ""Mathematics and Computer Science"", ""university"": ""University of Oxford (Rhodes Scholar)"", ""year"": ""—"", ""country"": ""United Kingdom""}"
"Extract the target person's education history as JSON.
Target person: James Manyika
Return a JSON array of degrees with fields: level, field, university, year, country. Only include information about the target person.",High-level Advisory Body on Artificial Intelligence,"{""level"": ""MA"", ""field"": ""—"", ""university"": ""University of Oxford"", ""year"": ""—"", ""country"": ""United Kingdom""}"
"Extract the target person's education history as JSON.
Target person: James Manyika
Return a JSON array of degrees with fields: level, field, university, year, country. Only include information about the target person.",High-level Advisory Body on Artificial Intelligence,"{""level"": ""DPhil"", ""field"": ""AI and Robotics"", ""university"": ""University of Oxford"", ""year"": ""—"", ""country"": ""United Kingdom""}"
"Extract the target person's education history as JSON.
Target person: Jian Wang
Return a JSON array of degrees with fields: level, field, university, year, country. Only include information about the target person.",IISP,"{""level"": ""Bachelor's"", ""field"": ""Psychology"", ""university"": ""Hangzhou University"", ""year"": ""1984"", ""country"": ""China""}"
"Extract the target person's education history as JSON.
Target person: Jian Wang
Return a JSON array of degrees with fields: level, field, university, year, country. Only include information about the target person.",IISP,"{""level"": ""PhD (工学博士 / Doctor of Engineering)"", ""field"": ""Psychology (Engineering Psychology)"", ""university"": ""Hangzhou University (later merged into Zhejiang University)"", ""year"": ""1990"", ""country"": ""China""}"
"Extract the target person's education history as JSON.
Target person: Jimena Sofia Viveros Alvarez
Return a JSON array of degrees with fields: level, field, university, year, country. Only include information about the target person.",High-level Advisory Body on Artificial Intelligence,"{""level"": ""Law degree"", ""field"": ""Law"", ""university"": ""Universidad Iberoamericana"", ""year"": ""—"", ""country"": ""Mexico""}"
"Extract the target person's education history as JSON.
Target person: Jimena Sofia Viveros Alvarez
Return a JSON array of degrees with fields: level, field, university, year, country. Only include information about the target person.",High-level Advisory Body on Artificial Intelligence,"{""level"": ""Master"", ""field"": ""Public International Law"", ""university"": ""Leiden University"", ""year"": ""—"", ""country"": ""Netherlands""}"
"Extract the target person's education history as JSON.
Target person: Jimena Sofia Viveros Alvarez
Return a JSON array of degrees with fields: level, field, university, year, country. Only include information about the target person.",High-level Advisory Body on Artificial Intelligence,"{""level"": ""PhD (candidate)"", ""field"": ""Global governance of autonomous weapons / weaponisation of AI"", ""university"": ""University of Cologne"", ""year"": ""—"", ""country"": ""Germany""}"
"Extract the target person's education history as JSON.
Target person: Johanna Pirker
Return a JSON array of degrees with fields: level, field, university, year, country. Only include information about the target person.",IISP,"{""level"": ""BSc"", ""field"": ""Software Development and Business Management"", ""university"": ""Graz University of Technology"", ""year"": ""2006–2011"", ""country"": ""Austria""}"
"Extract the target person's education history as JSON.
Target person: Johanna Pirker
Return a JSON array of degrees with fields: level, field, university, year, country. Only include information about the target person.",IISP,"{""level"": ""Dipl.Ing. (MSc)"", ""field"": ""Software Development and Business Management"", ""university"": ""Graz University of Technology"", ""year"": ""2011–2013"", ""country"": ""Austria""}"
"Extract the target person's education history as JSON.
Target person: Johanna Pirker
Return a JSON array of degrees with fields: level, field, university, year, country. Only include information about the target person.",IISP,"{""level"": ""Master's thesis research (visiting student — not a separate awarded degree)"", ""field"": ""Physics/virtual-world education thesis"", ""university"": ""Massachusetts Institute of Technology"", ""year"": ""2012–2013"", ""country"": ""USA""}"
"Extract the target person's education history as JSON.
Target person: Johanna Pirker
Return a JSON array of degrees with fields: level, field, university, year, country. Only include information about the target person.",IISP,"{""level"": ""Ph.D. (Doctoral Degree)"", ""field"": ""Computer Science (thesis: \""Immersive and Engaging Forms of Virtual Learning\"")"", ""university"": ""Graz University of Technology"", ""year"": ""2013–2017"", ""country"": ""Austria""}"
"Extract the target person's education history as JSON.
Target person: Joyce Nakatumba Nabende
Return a JSON array of degrees with fields: level, field, university, year, country. Only include information about the target person.",IISP,"{""level"": ""Bachelor of Computer Science"", ""field"": ""Computer Science"", ""university"": ""Mbarara University of Science and Technology"", ""year"": ""January 2005"", ""country"": ""Uganda""}"
"Extract the target person's education history as JSON.
Target person: Joyce Nakatumba Nabende
Return a JSON array of degrees with fields: level, field, university, year, country. Only include information about the target person.",IISP,"{""level"": ""Master of Science"", ""field"": ""Computer Science"", ""university"": ""Makerere University"", ""year"": ""2006"", ""country"": ""Uganda""}"
